OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2565,S9314,Pristine Sun Fund 5 LLC_(2119_Lvvorn),0,Not Available,Tehama,1,Unit 1,SUN,12/31/2013 0:00,-122.2574324,40.1777337
2566,S9318,Pristine Sun Fund 5 LLC_(2065_Rogers),0,Not Available,Tehama,0.5,Unit 1,SUN,12/31/2013 0:00,-122.1863971,40.06731993
2567,S9319,Pristine Sun Fund 5 LLC_(2041_Alvares),0,Not Available,Tehama,0.25,Unit 1,SUN,12/31/2013 0:00,-122.2252121,40.11698761
2568,S9084,Wal-Mart,0,Not Available,Tehama,1,1,SUN,1/1/2012 0:00,-122.1250701,40.10077249
2569,S9089,Charles R. Crain Jr.,0,Not Available,Tehama,1,1,SUN,1/1/2012 0:00,-122.1252417,40.10134773
2570,W0400,Wal-Mart Red Bluff,0,Foundation Windpower,Tehama,1,WPRS 1,WND,9/1/2012 0:00,-122.194218,40.11136082
2571,S0707,SPI - Red Bluff,0,Sierra Pacific Industries Inc,Tehama,8.4,Unit 1,SUN,5/1/2020 0:00,-122.194087,40.12155037
2572,H0057,Butt Valley,0,Pacific Gas & Electric (PG&E),Plumas,40,Unit 532,WAT,12/31/1958 0:00,-121.1906669,40.17568026
2573,H0087,Caribou #1,0,Pacific Gas & Electric (PG&E),Plumas,73.8,"Unit 533, Unit 534, Unit 535",WAT,5/6/1921 0:00,-121.1482277,40.08547077
2574,H0088,Caribou #2,0,Pacific Gas & Electric (PG&E),Plumas,120,"Unit 536, Unit 537",WAT,11/9/1958 0:00,-121.1493924,40.0860303
2575,H0364,Oak Flat,0,Pacific Gas & Electric (PG&E),Plumas,1.4,1,WAT,11/1/1985 0:00,-121.1614052,40.07533144
2576,S0697,PSREC/SIAD Solar,0,Plumas Sierra Rural Electric Cooperative,Lassen,2.5,Unit 1,SUN,9/20/2018 0:00,-120.127435,40.14854032
2577,H0241,Gosselin Hydroelectric Plant,0,Humboldt Bay Municipal Water District,Trinity,2,"GEN 1, GEN 2",WAT,6/1/1983 0:00,-123.4344868,40.36976338
2578,S9312,Pristine Sun Fund 5 LLC_(2021_Doran),0,Not Available,Tehama,1.5,Unit 1,SUN,12/31/2013 0:00,-122.2738976,40.3681032
2579,H0106,Coleman,0,Pacific Gas & Electric (PG&E),Shasta,13,Unit 526,WAT,6/19/1979 0:00,-122.121894,40.4046245
2580,H0244,Inskip,0,Pacific Gas & Electric (PG&E),Tehama,7.65,1,WAT,10/1/1979 0:00,-121.9654721,40.40098437
2581,H0486,South,0,Pacific Gas & Electric (PG&E),Tehama,6.75,1,WAT,12/1/1979 0:00,-121.8790236,40.39532956
2582,E0026,Collins Pine Co Project,1,Collins Pine Co,Plumas,17,"GEN4, GEN5",WDS,12/1/1985 0:00,-121.2439545,40.30207235
